asset_class,n_assets_modeled,avg_corr,avg_trend_accuracy,avg_pred_ok_rate
forex,2,0.5000397477138228,0.6895833333333333,1.0
index,5,0.4465369947741677,0.7555722724824387,1.0
stock,4,0.5419515731299683,0.6895423944687045,1.0
