asset_class,n_assets_modeled,avg_corr,avg_trend_accuracy,avg_pred_ok_rate,alpha_low,alpha_mid,alpha_high
crypto,3,0.17341302303529663,0.8110236220472441,1.0,0.8986289746576508,1.1311220752947055,1.154420223486591
forex,2,-0.14497079353230688,0.7559055118110236,1.0,0.9593184740631885,0.9985713962304149,0.8997406527603043
index,5,-0.07963631221554299,0.7391025641025641,1.0,1.1166791075243616,0.9837168095915612,0.9046338114334417
stock,4,0.11579800050301745,0.7196428571428571,1.0,0.8849084804700967,1.1755028921001478,1.1989410164163594
