asset_id,asset_class,date,open,high,low,close,volume,time_gap,is_abnormal_gap_gt_1h,is_price_violation,is_duplicate_timestamp,has_missing
AAPL,stock,2026-02-26 04:00:00,273.46,274.12,273.42,274.12,2189.0,0 days 08:05:00,1,0,0,0
AAPL,stock,2026-02-27 04:00:00,271.7,272.22,271.7,272.0,306.0,0 days 08:05:00,1,0,0,0
AAPL,stock,2026-03-02 04:00:00,260.9,261.54,260.0,261.25,3634.0,2 days 08:05:00,1,0,0,0
AAPL,stock,2026-03-03 04:00:00,263.21,263.21,261.22,261.98,1185.0,0 days 08:05:00,1,0,0,0
AAPL,stock,2026-03-04 04:00:00,262.64,263.13,262.64,262.87,513.0,0 days 08:05:00,1,0,0,0
AAPL,stock,2026-03-05 04:00:00,262.28,262.6,261.8,262.28,0.0,0 days 08:05:00,1,0,0,0
AAPL,stock,2026-03-06 04:00:00,260.24,260.8,259.67,259.67,429.0,0 days 08:05:00,1,0,0,0
AAPL,stock,2026-03-09 04:00:00,253.5,254.9,252.72,253.88,1443.0,2 days 08:05:00,1,0,0,0
AAPL,stock,2026-03-10 04:00:00,259.8,260.94,259.8,260.94,551.0,0 days 08:05:00,1,0,0,0
BTCUSD,crypto,2026-03-08 03:00:00,67162.05,67264.77,67149.17,67264.77,608546.5091737998,0 days 01:05:00,1,0,0,0
ETHUSD,crypto,2026-03-08 03:00:00,1947.8,1951.0,1947.12,1951.0,17378304.0,0 days 01:05:00,1,0,0,0
EURUSD,forex,2026-03-08 17:05:00,1.15475,1.15574,1.15466,1.1552,149.0,2 days 00:10:00,1,0,0,0
GOOG,stock,2026-02-26 04:00:00,311.62,312.22,311.5,311.8,2136.0,0 days 08:05:00,1,0,0,0
GOOG,stock,2026-02-27 04:00:00,308.25,308.84,306.99,307.64,6024.0,0 days 08:05:00,1,0,0,0
GOOG,stock,2026-03-02 04:00:00,303.89,304.0,303.0,303.18,0.0,2 days 08:05:00,1,0,0,0
GOOG,stock,2026-03-03 04:00:00,300.6,300.6,299.4,299.5,0.0,0 days 08:05:00,1,0,0,0
