asset_class,n_assets_modeled,avg_corr,avg_trend_accuracy,avg_pred_ok_rate
crypto,3,0.35656945909677984,0.6666666666666666,1.0
forex,2,0.49110381319894325,0.7020833333333334,1.0
index,5,0.44215973219913385,0.7483762245304882,1.0
stock,4,0.541288671736196,0.6795669577874818,1.0
__all__,14,0.4591335251163343,0.7045939728906454,1.0
