asset_class,n_assets_modeled,avg_corr,avg_trend_accuracy,avg_pred_ok_rate
crypto,3,0.09759055091574574,0.7999999999999999,1.0
forex,2,-0.14934963257119901,0.744,1.0
index,5,-0.04694218520527654,0.7211494113363273,1.0
stock,4,0.04096377683886415,0.7089727195225917,1.0
