asset_class,n_assets_modeled,n_assets_skipped,avg_corr,avg_trend_accuracy
crypto,3,0,0.5773739464593582,0.6811827956989248
forex,2,0,0.5009394329132774,0.7096774193548387
index,5,0,0.49088577974510256,0.7414229887823788
stock,4,0,0.5506101368098034,0.7380405951185435
