asset_class,n_assets_evaluated,avg_corr,avg_trend_accuracy,avg_pred_ok_rate,model_backend
crypto,3,0.2335585623264341,0.5149051490514905,1.0,xgboost
forex,2,0.2565207689975871,0.5772357723577235,1.0,xgboost
index,5,0.3165341292888904,0.7736558961612814,1.0,xgboost
stock,4,0.36451495071594453,0.6953542780748663,1.0,xgboost
__all__,14,0.3038891195916219,0.6677773989268421,1.0,xgboost
