asset_class,n_assets_evaluated,avg_corr,avg_trend_accuracy,avg_pred_ok_rate
crypto,3,0.1829329091514459,0.6097560975609756,1.0
forex,2,0.3436178139431493,0.7357723577235773,1.0
index,5,0.3870831134547732,0.7450567983061769,1.0
stock,4,0.44967343772471424,0.7267156862745098,1.0
__all__,14,0.35501026239381134,0.7094971246256432,1.0
