asset_class,n_assets_modeled,avg_corr,avg_trend_accuracy,avg_pred_ok_rate,p,d,q,class_bic
crypto,3,-0.18482475753344585,0.7669376693766937,1.0,1,1,1,9776.32438411563
forex,2,-0.18998447082036066,0.7215447154471545,1.0,1,1,1,6653.367018308091
index,5,-0.14042656323251107,0.7309538811056419,1.0,1,1,1,19811.99717941144
stock,4,-0.07884120739349032,0.7311321570662515,1.0,1,1,3,12628.227585886596
